,Add_to_Cartquantity,INITIAL,View_Items,cancelorder,clearcart,deferorder,home,inventory,login,logout,purchasecart,remove,sellinventory,shoppingcart,$
Add_to_Cartquantity,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
INITIAL*,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.2833; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.7167; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
View_Items,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
cancelorder,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(3493.00 500.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
clearcart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
deferorder,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
home,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(4038.00 690.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
inventory,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0147; norm(2495.00 500.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.3603; norm(1695.00 458.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.625; norm(2457.00 498.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
login,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
logout,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),1.0; norm(0.00 0.00)
purchasecart,0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00),0.0; norm(0.00 0.00)
